Summary by Sample
Dataset Name:, C:\Elandata\Dataset\1403-11-29
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,BLANK FX
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Gd158,1.15e+004,,,cps,9.65,,,ppm
Tb159,4.49e+003,,,cps,0.994,,,ppm
Dy164,4.85e+003,,,cps,3.92,,,ppm
Ho165,2.58e+003,,,cps,0.595,,,ppm
Er166,4.01e+003,,,cps,2.7,,,ppm
Tm169,914,,,cps,0.203,,,ppm
Yb174,2.08e+003,,,cps,1.38,,,ppm
Lu175,963,,,cps,0.239,,,ppm
U238,1.76e+004,,,cps,4.8,,,ppm
Ga69,1.52e+005,,,cps,34.5,,,ppm
Sample ID:,906 X
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,1.36e+003,,,cps,3.45,,,ppm
Bi209,3.4e+004,,,cps,8.93,,,ppm
Cd111,354,,,cps,0.47,,,ppm
Cs133,4.17e+004,,,cps,7.45,,,ppm
Co59,1.21e+005,,,cps,27.5,,,ppm
Pb208,5.85e+005,,,cps,189,,,ppm
Rb85,5.21e+005,,,cps,145,,,ppm
Se82,294,,,cps,6.32,,,ppm
Ag107,3.05e+005,,,cps,135,,,ppm
Te130,5.43e+003,,,cps,32.6,,,ppm
Ta181,5.79e+003,,,cps,0.438,,,ppm
Tl205,3.25e+003,,,cps,0.65,,,ppm
Ge74,148,,,cps,0.158,,,ppm
Hf180,9.42e+003,,,cps,6.56,,,ppm
Mo98,7.58e+003,,,cps,6.84,,,ppm
Nb93,9.93e+004,,,cps,10.9,,,ppm
Sb121,2.98e+003,,,cps,2.53,,,ppm
Sn118,8.37e+003,,,cps,2.42,,,ppm
W184,4.73e+003,,,cps,4.68,,,ppm
Zr90,6.63e+005,,,cps,266,,,ppm
As75,4.23e+004,,,cps,122,,,ppm
V51,-8.75e+004,,,cps,-45.4,,,ppm
Cr52,1.45e+005,,,cps,64.8,,,ppm
Ni60,1.87e+004,,,cps,25.6,,,ppm
Cu63,3.11e+006,,,cps,1.93e+003,,,ppm
Zn66,6.39e+004,,,cps,152,,,ppm
Th232,5.94e+004,,,cps,16.5,,,ppm
Sc45,3.73e+004,,,cps,9.99,,,ppm
Y89,8.39e+004,,,cps,19.,,,ppm
La139,2.81e+005,,,cps,64.7,,,ppm
Ce140,5.e+005,,,cps,133,,,ppm
Pr141,6.59e+004,,,cps,14.8,,,ppm
Nd142,6.23e+004,,,cps,51.2,,,ppm
Sm152,1.8e+004,,,cps,14.,,,ppm
Eu153,1.34e+004,,,cps,5.54,,,ppm
Gd158,1.62e+004,,,cps,13.5,,,ppm
Tb159,5.74e+003,,,cps,1.26,,,ppm
Dy164,5.94e+003,,,cps,4.76,,,ppm
Ho165,2.73e+003,,,cps,0.623,,,ppm
Er166,2.48e+003,,,cps,1.65,,,ppm
Tm169,719,,,cps,0.159,,,ppm
Yb174,1.64e+003,,,cps,1.08,,,ppm
Lu175,1.07e+003,,,cps,0.262,,,ppm
U238,2.05e+004,,,cps,5.55,,,ppm
Ga69,3.33e+005,,,cps,74.9,,,ppm
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,-4.,,,cps,-4.21e-005,,,ppm
Bi209,-5.57,,,cps,-6.06e-006,,,ppm
Cd111,-11.6,,,cps,-6.37e-005,,,ppm
Cs133,2.11,,,cps,1.56e-006,,,ppm
Co59,-2.11,,,cps,-1.99e-006,,,ppm
Pb208,-53.7,,,cps,-7.19e-005,,,ppm
Rb85,14.7,,,cps,1.7e-005,,,ppm
Se82,-28.,,,cps,-2.49e-003,,,ppm
Ag107,-10.5,,,cps,-1.94e-005,,,ppm
Te130,-5.77,,,cps,-1.43e-004,,,ppm
Ta181,-12.8,,,cps,-4.02e-006,,,ppm
Tl205,-8.42,,,cps,-6.96e-006,,,ppm
Ge74,11.,,,cps,4.88e-005,,,ppm
Hf180,-5.31,,,cps,-1.53e-005,,,ppm
Mo98,31.,,,cps,1.16e-004,,,ppm
Nb93,-6.32,,,cps,-2.88e-006,,,ppm
Sb121,5.26,,,cps,1.84e-005,,,ppm
Sn118,1.05,,,cps,1.26e-006,,,ppm
W184,5.28,,,cps,2.16e-005,,,ppm
Zr90,-5.1,,,cps,-8.47e-006,,,ppm
As75,200,,,cps,2.4e-003,,,ppm
V51,-188,,,cps,-4.04e-004,,,ppm
Cr52,-461,,,cps,-8.51e-004,,,ppm
Ni60,2.22,,,cps,1.26e-005,,,ppm
Cu63,-15.8,,,cps,-4.04e-005,,,ppm
Zn66,-149,,,cps,-1.47e-003,,,ppm
Th232,-16.8,,,cps,-1.93e-005,,,ppm
Sc45,-129,,,cps,-1.43e-004,,,ppm
Y89,-2.32e-006,,,cps,-2.17e-012,,,ppm
La139,-18.9,,,cps,-1.81e-005,,,ppm
Ce140,0.812,,,cps,8.91e-007,,,ppm
Pr141,-10.2,,,cps,-9.47e-006,,,ppm
Nd142,-13.4,,,cps,-4.56e-005,,,ppm
Sm152,-2.12,,,cps,-6.82e-006,,,ppm
Eu153,-2.05,,,cps,-3.5e-006,,,ppm
Gd158,1.33,,,cps,4.58e-006,,,ppm
Tb159,8.76,,,cps,7.95e-006,,,ppm
Dy164,-19.4,,,cps,-6.44e-005,,,ppm
Ho165,-10.6,,,cps,-1.01e-005,,,ppm
Er166,-0.837,,,cps,-2.31e-006,,,ppm
Tm169,-2.11,,,cps,-1.92e-006,,,ppm
Yb174,2.18,,,cps,5.94e-006,,,ppm
Lu175,-2.62,,,cps,-2.67e-006,,,ppm
U238,2.11,,,cps,2.36e-006,,,ppm
Ga69,-2.11,,,cps,-1.96e-006,,,ppm
Sample ID:,MIX1  8
Method File:,mix 1&2&3 geology2.mth
Calibration File:,8.cal
Be9,90.,,,cps,9.48e-004,,,ppm
Bi209,192,,,cps,2.09e-004,,,ppm
