,CRM ID,Ag,Al,Al2O3,As,Au,B,Ba,BaO,Be,BeO,Bi,C,C-(Carbonate),C-(Graphite),Ca,CaO,Cd,Ce,CeO2,Cl,Co,Cr,Cr2O3,Cs,Cu,Cu-Res(4A),Cu-Sol(CN),Cu-Sol(H2SO4),Cu-Tot(Calc),Dy,Dy2O3,Er,Er2O3,Eu,Eu2O3,F,Fe,Fe(Calc),Fe2+,Fe2O3,Fe3+,Fe3O4,FeO,Ga,Ga2O3,Gd,Gd2O3,Ge,H2O-,Hf,HfO2,Hg,Ho,Ho2O3,In,Ir,K,K2O,LOI1000,LOI300-1000,LOI371,LOI425,LOI650,La,La2O3,Li,Li2O,Lu,Lu2O3,MOI300,MassRec,Mg,MgO,Mn,MnO,Mo,Na,Na2O,Nb,Nb2O5,Nd,Nd2O3,Ni,NiO,Os,P,P2O5,Pb,PbO,Pd,Pr,Pr6O11,Pt,Rb,Re,Rh,Ru,S,S-(Sulphate),S-(Sulphide),SG,SO3,Sb,Sc,Se,Si,SiO2,Sm,Sm2O3,Sn,SnO2,Sr,SrO,Ta,Ta2O5,Tb,Tb4O7,Te,Th,ThO2,Ti,TiO2,Tl,Tm,Tm2O3,U,U3O8,V,V2O5,W,WO3,Y,Y2O3,Yb,Yb2O3,Zn,ZnO,Zr,ZrO2
169,OREAS 231b,0.182264,68854.2,,33.976,0.55644,28.5899,299.254,,0.368318,,0.0289091,,,,64333.6,,0.391215,11.3417,,,46.563,153.72,,0.584435,155.664,,,,,3.76962,,2.315,,0.922785,,,83053.8,,,,,,,15.3744,,3.04209,,0.13,,1.54391,,,0.774507,,0.0711788,,4769.3,,,,,,,4.52475,,11.9618,,0.330319,,,,41413.9,,1579.39,,1.46177,20387.3,,3.66309,,7.9799,,104.846,,,438.089,,13.5667,,,1.642,,,10.3618,0.00257292,,,2642.83,,,,,0.820955,39.4319,,,,2.44001,,0.935011,,203.235,,0.241881,,0.559588,,0.0735082,0.652387,,6377.92,,0.122083,0.332163,,0.202718,,282.896,,16.9595,,20.4727,,2.13038,,117.762,,45.4342,
170,OREAS 232,0.0926606,24693.1,,184.58,0.902429,,97.2813,,1.19305,,0.309927,,,,1869.96,,0.0324183,58.2897,,,12.4587,100.067,,7.45111,22.5758,,,,,2.25102,,0.995933,,0.796345,,,34080.5,,,,,,,7.53454,,3.78238,,0.0986111,,0.779707,,,0.389748,,0.0228727,,9718.49,,,,,,,29.8202,,33.8616,,0.115831,,,,12989.4,,207.179,,0.57255,737.694,,,,,,56.7805,,,503.849,,7.74337,,,7.63327,,,94.1584,,,,497.687,,,,,133.438,5.80242,,,,5.1406,,1.29729,,15.4724,,,,0.447447,,,13.1455,,1464.73,,0.59225,,,1.51383,,67.1973,,0.383719,,9.53247,,0.857472,,74.5278,,28.1222,
171,OREAS 232b,0.1126,70118.8,,441.142,0.945672,,693.868,,2.34825,,0.308521,,,,9951.97,,0.044859,79.2791,,,16.6474,121.742,,8.62739,26.7063,,,,,3.38023,,1.77729,,1.23935,,,38519.3,,,,,,,18.4039,,4.96338,,0.123,,4.06396,,,0.619148,,0.0633534,,25062.7,,,,,,,37.5965,,50.4211,,0.276586,,,,16238.5,,414.157,,1.05171,8100.42,,13.4954,,33.4711,,63.2,,,666.657,,19.2316,,,8.96285,,,144.352,0.00198,,,1723.48,,,,,186.66,13.624,,,,6.43796,,3.43598,,133.574,,1.0078,,0.67386,,,14.2812,,4425.46,,0.769169,0.249255,,2.7067,,98.0314,,1.89976,,15.8747,,1.70211,,90.5943,,139.924,
172,OREAS 233,0.285245,34467.8,,47.4257,1.0549,20.2143,26.2101,,0.229167,,0.0404231,,,,27461.7,,0.499942,8.9748,,,29.8048,19.0833,,0.57911,161.792,,,,,2.17983,,1.2779,,0.394833,,,55754.9,,,,,,,10.2471,,1.95044,,0.114167,,0.507103,,,0.424405,,0.0316538,,1196.08,,,,,,,3.82907,,10.196,,0.153812,,,,16494.6,,745.021,,0.829906,1972.88,,3.307,,5.62908,,56.3973,,,381.856,,20.9066,,,1.22561,,0.0145333,5.05407,0.00171429,,,3195.78,,,,,0.576685,5.45244,,,,1.5092,,0.606809,,33.7699,,0.0099,,0.32763,,0.0831071,0.682558,,3133.92,,0.0969118,0.175306,,0.166562,,139.002,,18.2274,,11.8529,,1.19431,,115.562,,16.7779,
173,OREAS 233b,0.310647,67985.3,,59.856,1.075,23.6901,270.002,,0.391381,,0.0455684,,,,63250.9,,0.581744,12.5654,,,43.5587,146.019,,0.89133,160.873,,,,,3.60439,,2.18473,,0.895673,,,78430.7,,,,,,,15.0173,,2.95726,,0.08275,,1.59761,,,0.742993,,0.0730043,,5413.54,,,,,,,5.30103,,12.192,,0.323913,,,,38702.4,,1471.51,,2.3352,19196.7,,3.53649,,8.27149,,97.3957,,,429.051,,23.9222,,,1.70991,,,14.0247,0.0031,,,3732.65,,,,,1.30664,37.3814,,,,2.46589,,1.1287,,197.505,,0.234897,,0.533643,,0.0959865,0.926264,,5966.3,,0.209192,0.316323,,0.297068,,262.009,,29.8841,,19.709,,2.05555,,137.777,,50.1978,
174,OREAS 234,0.341089,35261.0,,54.7923,1.20389,19.7593,29.6362,,0.266042,,0.0450139,,,,28739.8,,0.543923,10.1005,,,29.2849,21.664,,0.667177,174.009,,,,,2.05802,,1.27554,,0.418222,,,53857.0,,,,,,,10.1217,,1.96996,,0.105,,0.513556,,,0.417,,0.0360524,,1567.02,,,,,,,4.36649,,10.1211,,0.159125,,,,16280.4,,735.298,,1.38531,2165.89,,3.35842,,6.01798,,55.326,,,390.367,,26.2463,,,1.32458,,0.0139333,6.3936,0.0017619,,,3699.86,,,,,0.811537,6.45988,,,,1.5631,,0.621071,,48.7774,,0.0099,,0.322759,,0.0944167,0.833729,,3246.16,,0.124444,0.178143,,0.2022,,135.788,,18.1488,,11.5504,,1.12183,,122.656,,17.7448,
175,OREAS 234b,0.348027,67183.1,,65.2859,1.23422,26.851,289.881,,0.435763,,0.0473846,,,,61459.8,,0.617976,13.0911,,,43.195,144.106,,0.952245,161.851,,,,,3.58979,,2.17333,,0.913326,,,78271.1,,,,,,,15.239,,2.96376,,0.0875833,,1.64353,,,0.736432,,0.0748107,,5777.48,,,,,,,5.61279,,12.1613,,0.312691,,,,37644.2,,1478.55,,2.56658,19419.6,,3.59114,,8.3934,,96.9143,,,432.126,,26.2337,,,1.75066,,,15.1797,,,,4050.53,,,,,1.42695,36.7547,,,,2.48492,,1.13879,,193.671,,0.238598,,0.540537,,0.101031,1.01589,,5917.66,,0.226602,0.313265,,0.303834,,257.625,,33.305,,19.4404,,2.03361,,143.098,,49.5548,
176,OREAS 235,0.135059,25159.0,,330.932,1.58637,,103.532,,1.21716,,0.327545,,,,2020.53,,0.0334106,56.9188,,,12.3035,99.6909,,7.46527,24.0208,,,,,2.32906,,0.995633,,0.80108,,,33995.0,,,,,,,7.83656,,3.74529,,0.0961111,,0.760648,,,0.375252,,0.0227564,,9830.2,,,,,,,29.1423,,33.4216,,0.120333,,,,12834.5,,210.435,,0.572412,735.83,,0.297333,,,,56.8291,,,499.84,,8.5707,,,7.41774,,,94.7505,,,,784.532,,,,,235.371,5.78962,,,,5.15055,,1.31973,,16.6995,,,,0.436508,,,12.9956,,1413.39,,0.603508,,,1.54572,,66.8702,,0.448651,,9.47316,,0.853192,,75.2942,,27.3374,
177,OREAS 235b,0.135367,75667.0,,353.222,1.63383,,691.262,,2.54247,,0.34363900000000003,,,,8596.89,,0.0459033,83.0499,,,17.7651,128.2,,9.97523,29.3305,,,,,3.68513,,2.04886,,1.28915,,,41515.4,,,,,,,19.8956,,5.22771,,0.115307,,3.91936,,,0.710038,,0.0697015,,27592.7,,,,,,,40.6019,,54.5974,,0.272077,,,,17760.0,,405.54,,0.984904,7537.15,,15.8254,,35.6873,,65.8957,,,759.238,,19.0867,,,9.71365,,,158.888,0.00198,,,1408.98,,,,,327.454,14.7174,,,,6.80235,,3.79116,,149.485,,1.17746,,0.688571,,,14.8145,,4892.09,,0.859865,0.295081,,2.81144,,110.932,,2.34186,,16.3526,,1.80429,,97.2547,,139.693,
178,OREAS 236,0.478139,65931.8,,67.6896,1.84845,90.2605,245.752,,0.458569,,0.0613889,,,,59341.2,,0.623762,13.9587,,,41.4883,86.4016,,1.00806,169.654,,,,,3.93796,,2.42861,,0.963425,,,80044.3,,,,,,,16.1386,,3.47469,,0.146333,,1.80094,,0.0464222,0.859167,,0.0797083,,5589.61,,,,,,,5.98838,,10.5106,,0.371633,,,,33955.4,,1332.54,,1.56014,21549.6,,3.6281,,9.01193,,68.4509,,,453.359,,30.4861,,,1.94042,,,14.0762,0.00266667,,,4441.22,,,,,1.76284,38.5064,4.95,,,2.70768,,1.08222,,95.1012,,0.247909,,0.616035,,0.112778,1.10006,,6385.73,,0.242193,0.358074,,0.346096,,279.167,,30.5099,,21.654,,2.32282,,143.653,,54.7689,
