Summary by Sample
Dataset Name:, C:\Elandata\DataSet\1404-06-04
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Ni60,1.72e+005,,,cps,90.7,,,ppm
Cu63,1.52e+005,,,cps,34.7,,,ppm
Zn66,9.41e+004,,,cps,68.3,,,ppm
Th232,2.03e+005,,,cps,14.9,,,ppm
Sc45,1.91e+005,,,cps,40.,,,ppm
Y89,2.92e+005,,,cps,18.1,,,ppm
La139,8.1e+005,,,cps,42.2,,,ppm
Ce140,1.93e+006,,,cps,113,,,ppm
Pr141,2.21e+005,,,cps,10.4,,,ppm
Nd142,1.69e+005,,,cps,29.4,,,ppm
Sm152,4.96e+004,,,cps,8.05,,,ppm
Eu153,2.7e+004,,,cps,2.22,,,ppm
Gd158,5.11e+004,,,cps,8.74,,,ppm
Tb159,2.16e+004,,,cps,0.92,,,ppm
Dy164,2.92e+004,,,cps,4.39,,,ppm
Ho165,1.84e+004,,,cps,0.752,,,ppm
Er166,1.77e+004,,,cps,2.19,,,ppm
Tm169,6.56e+003,,,cps,0.268,,,ppm
Yb174,1.46e+004,,,cps,1.86,,,ppm
Lu175,6.84e+003,,,cps,0.314,,,ppm
U238,4.64e+004,,,cps,3.34,,,ppm
Ga69,2.21e+005,,,cps,31.7,,,ppm
Sample ID:,506 b
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,2.14e+003,,,cps,2.57,,,ppm
Bi209,2.64e+004,,,cps,4.02,,,ppm
Cd111,721,,,cps,0.438,,,ppm
Cs133,1.64e+005,,,cps,8.64,,,ppm
Co59,6.58e+004,,,cps,7.42,,,ppm
Pb208,2.11e+005,,,cps,29.1,,,ppm
Rb85,2.13e+006,,,cps,196,,,ppm
Se82,425,,,cps,3.03,,,ppm
Ag107,1.45e+005,,,cps,21.,,,ppm
Te130,-7.99e+003,,,cps,-6.39,,,ppm
Ta181,1.02e+004,,,cps,0.683,,,ppm
Tl205,8.02e+003,,,cps,0.792,,,ppm
Ge74,1.27e+003,,,cps,0.474,,,ppm
Hf180,1.8e+004,,,cps,2.44,,,ppm
Mo98,2.54e+005,,,cps,76.1,,,ppm
Nb93,1.46e+005,,,cps,12.8,,,ppm
Sb121,1.85e+004,,,cps,3.91,,,ppm
Sn118,2.64e+004,,,cps,5.87,,,ppm
W184,4.7e+004,,,cps,9.53,,,ppm
Zr90,7.26e+005,,,cps,103,,,ppm
As75,1.01e+005,,,cps,102,,,ppm
V51,2.66e+005,,,cps,49.8,,,ppm
Cr52,4.38e+005,,,cps,69.7,,,ppm
Ni60,6.14e+004,,,cps,31.8,,,ppm
Cu63,1.96e+007,,,cps,4.4e+003,,,ppm
Zn66,7.37e+004,,,cps,52.7,,,ppm
Th232,1.74e+005,,,cps,12.6,,,ppm
Sc45,1.09e+005,,,cps,22.6,,,ppm
Y89,2.23e+005,,,cps,13.7,,,ppm
La139,5.5e+005,,,cps,28.3,,,ppm
Ce140,1.11e+006,,,cps,63.9,,,ppm
Pr141,1.52e+005,,,cps,7.04,,,ppm
Nd142,1.54e+005,,,cps,26.4,,,ppm
Sm152,4.12e+004,,,cps,6.59,,,ppm
Eu153,2.22e+004,,,cps,1.8,,,ppm
Gd158,4.03e+004,,,cps,6.79,,,ppm
Tb159,1.79e+004,,,cps,0.749,,,ppm
Dy164,2.26e+004,,,cps,3.34,,,ppm
Ho165,1.22e+004,,,cps,0.492,,,ppm
Er166,1.17e+004,,,cps,1.43,,,ppm
Tm169,4.59e+003,,,cps,0.185,,,ppm
Yb174,9.73e+003,,,cps,1.22,,,ppm
Lu175,4.77e+003,,,cps,0.216,,,ppm
U238,4.87e+004,,,cps,3.46,,,ppm
Ga69,2.43e+005,,,cps,34.3,,,ppm
Sample ID:,906 b
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,2.46e+003,,,cps,2.98,,,ppm
Bi209,1.02e+005,,,cps,15.6,,,ppm
Cd111,726,,,cps,0.445,,,ppm
Cs133,1.16e+005,,,cps,6.16,,,ppm
Co59,1.67e+005,,,cps,19.,,,ppm
Pb208,2.65e+005,,,cps,36.9,,,ppm
Rb85,1.54e+006,,,cps,143,,,ppm
Se82,407,,,cps,2.93,,,ppm
Ag107,6.51e+004,,,cps,9.51,,,ppm
Te130,-2.42e+004,,,cps,-19.6,,,ppm
Ta181,1.98e+004,,,cps,1.33,,,ppm
Tl205,6.75e+003,,,cps,0.674,,,ppm
Ge74,1.15e+003,,,cps,0.435,,,ppm
Hf180,4.28e+004,,,cps,5.85,,,ppm
Mo98,1.55e+004,,,cps,4.7,,,ppm
Nb93,2.08e+005,,,cps,18.4,,,ppm
Sb121,9.99e+003,,,cps,2.13,,,ppm
Sn118,2.85e+004,,,cps,6.41,,,ppm
W184,1.5e+004,,,cps,3.07,,,ppm
Zr90,2.25e+006,,,cps,323,,,ppm
As75,5.51e+004,,,cps,56.4,,,ppm
V51,-1.59e+005,,,cps,-30.,,,ppm
Cr52,1.99e+005,,,cps,32.,,,ppm
Ni60,1.96e+004,,,cps,10.2,,,ppm
Cu63,1.23e+007,,,cps,2.77e+003,,,ppm
Zn66,1.03e+005,,,cps,74.6,,,ppm
Th232,1.89e+005,,,cps,13.9,,,ppm
Sc45,9.32e+004,,,cps,19.4,,,ppm
Y89,1.91e+005,,,cps,11.8,,,ppm
La139,7.55e+005,,,cps,39.2,,,ppm
Ce140,1.88e+006,,,cps,110,,,ppm
Pr141,2.e+005,,,cps,9.32,,,ppm
Nd142,1.41e+005,,,cps,24.4,,,ppm
Sm152,5.49e+004,,,cps,8.87,,,ppm
Eu153,3.69e+004,,,cps,3.02,,,ppm
Gd158,4.55e+004,,,cps,7.74,,,ppm
Tb159,1.83e+004,,,cps,0.776,,,ppm
Dy164,2.14e+004,,,cps,3.2,,,ppm
Ho165,1.03e+004,,,cps,0.419,,,ppm
Er166,1.19e+004,,,cps,1.46,,,ppm
Tm169,2.49e+003,,,cps,0.101,,,ppm
Yb174,5.16e+003,,,cps,0.655,,,ppm
Lu175,2.1e+003,,,cps,9.6e-002,,,ppm
U238,7.05e+004,,,cps,5.05,,,ppm
Ga69,4.86e+005,,,cps,69.4,,,ppm
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,-14.,,,cps,-6.92e-005,,,ppm
Bi209,5.35,,,cps,3.35e-006,,,ppm
Cd111,-11.6,,,cps,-2.9e-005,,,ppm
Cs133,91.6,,,cps,1.98e-005,,,ppm
Co59,30.5,,,cps,1.42e-005,,,ppm
Pb208,314,,,cps,1.78e-004,,,ppm
Rb85,240,,,cps,9.07e-005,,,ppm
Se82,82.4,,,cps,2.42e-003,,,ppm
Ag107,-396,,,cps,-2.36e-004,,,ppm
