Summary by Sample
Dataset Name:, C:\Elandata\DataSet\1404-06-04
,Net Intensity,,,,Concentration
,Value,SD,RSD,Units,Value,SD,RSD,Units
Sample ID:,W
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,21.,,,cps,5.5,,,ppm
Bi209,436,,,cps,14.5,,,ppm
Cd111,105,,,cps,13.9,,,ppm
Cs133,498,,,cps,5.71,,,ppm
Co59,9.67e+003,,,cps,238,,,ppm
Pb208,6.03e+003,,,cps,181,,,ppm
Rb85,6.13e+003,,,cps,123,,,ppm
Se82,19.3,,,cps,30.,,,ppm
Ag107,2.4e+004,,,cps,759,,,ppm
Te130,2.67,,,cps,0.466,,,ppm
Ta181,30.5,,,cps,0.444,,,ppm
Tl205,-3.16,,,cps,-6.81e-002,,,ppm
Ge74,129,,,cps,10.5,,,ppm
Hf180,36.5,,,cps,1.08,,,ppm
Mo98,1.46e+003,,,cps,95.7,,,ppm
Nb93,240,,,cps,4.6,,,ppm
Sb121,103,,,cps,4.76,,,ppm
Sn118,893,,,cps,43.4,,,ppm
W184,94.7,,,cps,4.19,,,ppm
Zr90,818,,,cps,25.4,,,ppm
As75,2.47e+003,,,cps,546,,,ppm
V51,-150,,,cps,-6.13,,,ppm
Cr52,1.66e+003,,,cps,57.6,,,ppm
Ni60,5.67e+006,,,cps,6.4e+005,,,ppm
Cu63,2.01e+004,,,cps,984,,,ppm
Zn66,2.01e+003,,,cps,313,,,ppm
Th232,77.9,,,cps,1.23,,,ppm
Sc45,-431,,,cps,-19.4,,,ppm
Y89,444,,,cps,5.92,,,ppm
La139,995,,,cps,11.2,,,ppm
Ce140,1.86e+003,,,cps,23.5,,,ppm
Pr141,255,,,cps,2.57,,,ppm
Nd142,246,,,cps,9.2,,,ppm
Sm152,138,,,cps,4.8,,,ppm
Eu153,139,,,cps,2.47,,,ppm
Gd158,39.5,,,cps,1.45,,,ppm
Tb159,17.4,,,cps,0.159,,,ppm
Dy164,28.9,,,cps,0.935,,,ppm
Ho165,2.04,,,cps,1.8e-002,,,ppm
Er166,13.3,,,cps,0.352,,,ppm
Tm169,2.11,,,cps,1.85e-002,,,ppm
Yb174,10.5,,,cps,0.288,,,ppm
Lu175,10.8,,,cps,0.107,,,ppm
U238,80.,,,cps,1.24,,,ppm
Ga69,2.61e+003,,,cps,80.5,,,ppm
Sample ID:,zp v500 d25 1619-2
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,7.,,,cps,1.87,,,ppm
Bi209,99.1,,,cps,3.36,,,ppm
Cd111,82.1,,,cps,11.1,,,ppm
Cs133,381,,,cps,4.46,,,ppm
Co59,3.96e+004,,,cps,996,,,ppm
Pb208,1.15e+004,,,cps,352,,,ppm
Rb85,5.28e+003,,,cps,108,,,ppm
Se82,1.52,,,cps,2.42,,,ppm
Ag107,1.01e+004,,,cps,325,,,ppm
Te130,-43.8,,,cps,-7.81,,,ppm
Ta181,16.8,,,cps,0.25,,,ppm
Tl205,72.6,,,cps,1.6,,,ppm
Ge74,717,,,cps,59.7,,,ppm
Hf180,53.5,,,cps,1.61,,,ppm
Mo98,7.27e+003,,,cps,486,,,ppm
Nb93,682,,,cps,13.4,,,ppm
Sb121,43.2,,,cps,2.03,,,ppm
Sn118,6.36e+003,,,cps,316,,,ppm
W184,89.5,,,cps,4.04,,,ppm
Zr90,1.99e+003,,,cps,63.1,,,ppm
As75,2.69e+003,,,cps,606,,,ppm
V51,705,,,cps,29.4,,,ppm
Cr52,914,,,cps,32.4,,,ppm
Ni60,2.69e+007,,,cps,3.11e+006,,,ppm
Cu63,1.43e+004,,,cps,716,,,ppm
Zn66,3.51e+003,,,cps,560,,,ppm
Th232,1.17e+003,,,cps,19.,,,ppm
Sc45,-506,,,cps,-23.3,,,ppm
Y89,504,,,cps,6.87,,,ppm
La139,4.82e+003,,,cps,55.2,,,ppm
Ce140,5.15e+004,,,cps,662,,,ppm
Pr141,1.35e+003,,,cps,13.9,,,ppm
Nd142,1.48e+003,,,cps,56.5,,,ppm
Sm152,355,,,cps,12.7,,,ppm
Eu153,187,,,cps,3.37,,,ppm
Gd158,529,,,cps,19.9,,,ppm
Tb159,48.6,,,cps,0.454,,,ppm
Dy164,48.4,,,cps,1.6,,,ppm
Ho165,14.9,,,cps,0.134,,,ppm
Er166,34.9,,,cps,0.946,,,ppm
Tm169,2.11,,,cps,1.89e-002,,,ppm
Yb174,13.5,,,cps,0.379,,,ppm
Lu175,17.5,,,cps,0.177,,,ppm
U238,68.4,,,cps,1.08,,,ppm
Ga69,1.85e+003,,,cps,58.4,,,ppm
Sample ID:,zp v500 d25 1619-3
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,20.,,,cps,5.59,,,ppm
Bi209,928,,,cps,32.9,,,ppm
Cd111,149,,,cps,21.1,,,ppm
Cs133,618,,,cps,7.57,,,ppm
Co59,7.99e+003,,,cps,210,,,ppm
Pb208,1.26e+004,,,cps,404,,,ppm
Rb85,5.33e+003,,,cps,114,,,ppm
Se82,-11.3,,,cps,-18.8,,,ppm
Ag107,3.5e+004,,,cps,1.18e+003,,,ppm
Te130,-35.8,,,cps,-6.67,,,ppm
Ta181,24.7,,,cps,0.383,,,ppm
Tl205,31.6,,,cps,0.727,,,ppm
Ge74,64.8,,,cps,5.64,,,ppm
Hf180,72.3,,,cps,2.28,,,ppm
Mo98,1.13e+003,,,cps,79.1,,,ppm
Nb93,440,,,cps,9.,,,ppm
Sb121,49.5,,,cps,2.44,,,ppm
Sn118,5.67e+003,,,cps,294,,,ppm
W184,106,,,cps,5.02,,,ppm
Zr90,1.83e+003,,,cps,60.4,,,ppm
As75,2.62e+003,,,cps,617,,,ppm
V51,-1.94e+003,,,cps,-84.8,,,ppm
Cr52,2.07e+003,,,cps,76.8,,,ppm
Ni60,5.09e+006,,,cps,6.14e+005,,,ppm
Cu63,9.6e+003,,,cps,502,,,ppm
Zn66,6.02e+003,,,cps,1.e+003,,,ppm
Th232,340,,,cps,5.74,,,ppm
Sc45,-557,,,cps,-26.8,,,ppm
Y89,512,,,cps,7.29,,,ppm
La139,1.31e+003,,,cps,15.6,,,ppm
Ce140,2.59e+003,,,cps,34.8,,,ppm
Pr141,306,,,cps,3.29,,,ppm
Nd142,345,,,cps,13.8,,,ppm
Sm152,106,,,cps,3.95,,,ppm
Eu153,96.9,,,cps,1.83,,,ppm
Gd158,77.6,,,cps,3.05,,,ppm
Tb159,28.6,,,cps,0.28,,,ppm
Dy164,44.1,,,cps,1.52,,,ppm
Ho165,11.2,,,cps,0.106,,,ppm
Er166,28.4,,,cps,0.804,,,ppm
Tm169,13.7,,,cps,0.128,,,ppm
Yb174,3.99,,,cps,0.117,,,ppm
Lu175,20.1,,,cps,0.212,,,ppm
U238,114,,,cps,1.88,,,ppm
Ga69,1.38e+003,,,cps,45.4,,,ppm
Sample ID:,tizs d10 1619-1
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,44.,,,cps,0.539,,,ppm
Bi209,780,,,cps,1.21,,,ppm
Cd111,36.8,,,cps,0.228,,,ppm
Cs133,9.57e+003,,,cps,5.13,,,ppm
Co59,3.5e+003,,,cps,4.02,,,ppm
Pb208,2.34e+004,,,cps,32.8,,,ppm
Rb85,4.39e+004,,,cps,41.,,,ppm
Se82,-17.5,,,cps,-1.27,,,ppm
Ag107,9.51e+004,,,cps,140,,,ppm
Te130,-145,,,cps,-1.19,,,ppm
Ta181,637,,,cps,0.433,,,ppm
Tl205,97.9,,,cps,9.86e-002,,,ppm
Ge74,47.7,,,cps,0.182,,,ppm
Hf180,46.9,,,cps,6.46e-002,,,ppm
Mo98,2.22e+003,,,cps,6.77,,,ppm
Nb93,596,,,cps,0.533,,,ppm
Sb121,2.25e+003,,,cps,4.85,,,ppm
Sn118,3.8e+003,,,cps,8.64,,,ppm
W184,614,,,cps,1.27,,,ppm
Zr90,1.38e+003,,,cps,2.01,,,ppm
As75,1.68e+004,,,cps,173,,,ppm
V51,-255,,,cps,-0.486,,,ppm
Cr52,8.19e+003,,,cps,13.3,,,ppm
Ni60,6.99e+003,,,cps,36.9,,,ppm
Cu63,9.97e+003,,,cps,22.8,,,ppm
Zn66,9.65e+003,,,cps,70.4,,,ppm
Th232,764,,,cps,0.565,,,ppm
Sc45,-542,,,cps,-1.14,,,ppm
Y89,3.44e+003,,,cps,2.15,,,ppm
La139,3.1e+003,,,cps,1.62,,,ppm
Ce140,5.54e+003,,,cps,3.26,,,ppm
Pr141,649,,,cps,0.306,,,ppm
Nd142,666,,,cps,1.16,,,ppm
Sm152,690,,,cps,1.13,,,ppm
Eu153,863,,,cps,0.713,,,ppm
Gd158,162,,,cps,0.278,,,ppm
Tb159,69.5,,,cps,2.97e-002,,,ppm
Dy164,124,,,cps,0.187,,,ppm
Ho165,58.2,,,cps,2.39e-002,,,ppm
Er166,81.9,,,cps,0.102,,,ppm
Tm169,38.9,,,cps,1.6e-002,,,ppm
Yb174,28.1,,,cps,3.6e-002,,,ppm
Lu175,37.8,,,cps,1.75e-002,,,ppm
U238,152,,,cps,0.11,,,ppm
Ga69,1.47e+004,,,cps,21.2,,,ppm
Sample ID:,tizs d10 1619-2
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,80.,,,cps,0.97,,,ppm
Bi209,281,,,cps,0.432,,,ppm
Cd111,165,,,cps,1.01,,,ppm
Cs133,1.92e+003,,,cps,1.02,,,ppm
Co59,3.09e+004,,,cps,35.2,,,ppm
Pb208,1.39e+004,,,cps,19.3,,,ppm
Rb85,2.21e+003,,,cps,2.05,,,ppm
Se82,-7.06,,,cps,-0.508,,,ppm
Ag107,2.84e+005,,,cps,415,,,ppm
Te130,20.6,,,cps,0.166,,,ppm
Ta181,51.4,,,cps,3.46e-002,,,ppm
Tl205,196,,,cps,0.195,,,ppm
Ge74,-9.67,,,cps,-3.65e-002,,,ppm
Hf180,77.,,,cps,0.105,,,ppm
Mo98,2.02e+003,,,cps,6.12,,,ppm
Nb93,933,,,cps,0.827,,,ppm
Sb121,393,,,cps,0.838,,,ppm
Sn118,1.23e+003,,,cps,2.77,,,ppm
W184,5.22e+003,,,cps,10.7,,,ppm
Zr90,1.03e+003,,,cps,1.48,,,ppm
As75,1.02e+004,,,cps,104,,,ppm
V51,-1.29e+004,,,cps,-24.3,,,ppm
Cr52,4.46e+004,,,cps,71.8,,,ppm
Ni60,3.56e+004,,,cps,186,,,ppm
Cu63,3.32e+004,,,cps,75.2,,,ppm
Zn66,1.86e+004,,,cps,134,,,ppm
Th232,6.87e+003,,,cps,5.03,,,ppm
Sc45,7.38e+003,,,cps,15.4,,,ppm
Y89,3.74e+004,,,cps,23.1,,,ppm
La139,6.79e+004,,,cps,35.2,,,ppm
Ce140,1.1e+005,,,cps,64.3,,,ppm
Pr141,1.8e+004,,,cps,8.39,,,ppm
Nd142,2.01e+004,,,cps,34.7,,,ppm
Sm152,5.17e+003,,,cps,8.35,,,ppm
Eu153,2.94e+003,,,cps,2.4,,,ppm
Gd158,6.3e+003,,,cps,10.7,,,ppm
Tb159,3.22e+003,,,cps,1.36,,,ppm
Dy164,4.52e+003,,,cps,6.77,,,ppm
Ho165,2.48e+003,,,cps,1.01,,,ppm
Er166,2.2e+003,,,cps,2.7,,,ppm
Tm169,704,,,cps,0.286,,,ppm
Yb174,1.27e+003,,,cps,1.62,,,ppm
Lu175,537,,,cps,0.245,,,ppm
U238,3.17e+003,,,cps,2.27,,,ppm
Ga69,7.12e+003,,,cps,10.2,,,ppm
Sample ID:,nit
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,6.6e-006,,,cps,3.26e-011,,,ppm
Bi209,281,,,cps,1.76e-004,,,ppm
Cd111,-9.47,,,cps,-2.37e-005,,,ppm
Cs133,23.2,,,cps,5.01e-006,,,ppm
Co59,2.1e+003,,,cps,9.75e-004,,,ppm
Pb208,5.e+003,,,cps,2.84e-003,,,ppm
Rb85,70.5,,,cps,2.67e-005,,,ppm
Se82,22.7,,,cps,6.67e-004,,,ppm
Ag107,488,,,cps,2.91e-004,,,ppm
Te130,75.3,,,cps,2.48e-004,,,ppm
Ta181,240,,,cps,6.59e-005,,,ppm
Tl205,74.7,,,cps,3.04e-005,,,ppm
Ge74,-16.2,,,cps,-2.5e-005,,,ppm
Hf180,76.2,,,cps,4.25e-005,,,ppm
Mo98,3.45e+003,,,cps,4.26e-003,,,ppm
Nb93,1.7e+003,,,cps,6.17e-004,,,ppm
Sb121,98.9,,,cps,8.62e-005,,,ppm
Sn118,1.37e+003,,,cps,1.26e-003,,,ppm
W184,3.25e+003,,,cps,2.71e-003,,,ppm
Zr90,2.56e+003,,,cps,1.5e-003,,,ppm
As75,774,,,cps,3.23e-003,,,ppm
V51,-4.01e+004,,,cps,-3.09e-002,,,ppm
Cr52,1.16e+005,,,cps,7.61e-002,,,ppm
Ni60,2.48e+004,,,cps,5.3e-002,,,ppm
Cu63,3.69e+003,,,cps,3.41e-003,,,ppm
Zn66,1.43e+004,,,cps,4.22e-002,,,ppm
Th232,691,,,cps,2.06e-004,,,ppm
Sc45,-1.28e+003,,,cps,-1.09e-003,,,ppm
Y89,64.2,,,cps,1.62e-005,,,ppm
La139,112,,,cps,2.36e-005,,,ppm
Ce140,190,,,cps,4.53e-005,,,ppm
Pr141,65.4,,,cps,1.25e-005,,,ppm
Nd142,24.1,,,cps,1.7e-005,,,ppm
Sm152,49.3,,,cps,3.25e-005,,,ppm
Eu153,4.62,,,cps,1.54e-006,,,ppm
Gd158,8.11,,,cps,5.63e-006,,,ppm
Tb159,-2.04,,,cps,-3.53e-007,,,ppm
Dy164,5.9,,,cps,3.6e-006,,,ppm
Ho165,2.47,,,cps,4.11e-007,,,ppm
Er166,3.06,,,cps,1.54e-006,,,ppm
Tm169,-10.5,,,cps,-1.74e-006,,,ppm
Yb174,2.9,,,cps,1.5e-006,,,ppm
Lu175,8.18,,,cps,1.52e-006,,,ppm
U238,61.1,,,cps,1.79e-005,,,ppm
Ga69,120,,,cps,6.99e-005,,,ppm
Sample ID:,tizs d10 1619-3
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,67.,,,cps,0.804,,,ppm
Bi209,326,,,cps,0.496,,,ppm
Cd111,460,,,cps,2.79,,,ppm
Cs133,1.38e+004,,,cps,7.26,,,ppm
Co59,6.95e+003,,,cps,7.83,,,ppm
Pb208,8.2e+004,,,cps,113,,,ppm
Rb85,4.76e+004,,,cps,43.7,,,ppm
Se82,6.16,,,cps,0.439,,,ppm
Ag107,2.54e+005,,,cps,368,,,ppm
Te130,-65.6,,,cps,-0.525,,,ppm
Ta181,30.5,,,cps,2.03e-002,,,ppm
Tl205,209,,,cps,0.207,,,ppm
Ge74,9.65,,,cps,3.6e-002,,,ppm
Hf180,37.5,,,cps,5.07e-002,,,ppm
Mo98,429,,,cps,1.29,,,ppm
Nb93,640,,,cps,0.562,,,ppm
Sb121,561,,,cps,1.19,,,ppm
Sn118,735,,,cps,1.64,,,ppm
W184,456,,,cps,0.924,,,ppm
Zr90,1.16e+003,,,cps,1.65,,,ppm
As75,9.27e+003,,,cps,93.9,,,ppm
V51,2.84e+003,,,cps,5.32,,,ppm
Cr52,7.51e+003,,,cps,12.,,,ppm
Ni60,4.88e+003,,,cps,25.3,,,ppm
Cu63,1.53e+004,,,cps,34.3,,,ppm
Zn66,6.58e+004,,,cps,471,,,ppm
Th232,1.05e+003,,,cps,0.765,,,ppm
Sc45,-352,,,cps,-0.726,,,ppm
Y89,4.88e+003,,,cps,2.98,,,ppm
La139,7.61e+003,,,cps,3.91,,,ppm
Ce140,1.22e+004,,,cps,7.02,,,ppm
Pr141,1.58e+003,,,cps,0.729,,,ppm
Nd142,1.52e+003,,,cps,2.61,,,ppm
Sm152,777,,,cps,1.24,,,ppm
Eu153,882,,,cps,0.715,,,ppm
Gd158,378,,,cps,0.637,,,ppm
Tb159,169,,,cps,7.08e-002,,,ppm
Dy164,197,,,cps,0.292,,,ppm
Ho165,122,,,cps,4.91e-002,,,ppm
Er166,135,,,cps,0.164,,,ppm
Tm169,26.3,,,cps,1.06e-002,,,ppm
Yb174,95.6,,,cps,0.12,,,ppm
Lu175,64.1,,,cps,2.9e-002,,,ppm
U238,655,,,cps,0.465,,,ppm
Ga69,1.39e+004,,,cps,19.6,,,ppm
Sample ID:,tizs 1619-1
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,275,,,cps,0.337,,,ppm
Bi209,2.04e+003,,,cps,0.317,,,ppm
Cd111,161,,,cps,9.97e-002,,,ppm
Cs133,7.37e+004,,,cps,3.95,,,ppm
Co59,2.46e+004,,,cps,2.83,,,ppm
Pb208,1.6e+005,,,cps,22.5,,,ppm
Rb85,4.02e+005,,,cps,37.7,,,ppm
Se82,48.4,,,cps,0.352,,,ppm
Ag107,6.67e+005,,,cps,98.5,,,ppm
Te130,-5.5e+003,,,cps,-4.49,,,ppm
Ta181,116,,,cps,7.87e-003,,,ppm
Tl205,730,,,cps,7.35e-002,,,ppm
Ge74,649,,,cps,0.247,,,ppm
Hf180,377,,,cps,5.2e-002,,,ppm
Mo98,2.14e+004,,,cps,6.54,,,ppm
Nb93,4.1e+003,,,cps,0.368,,,ppm
Sb121,3.57e+004,,,cps,7.7,,,ppm
Sn118,2.67e+004,,,cps,6.07,,,ppm
W184,5.65e+003,,,cps,1.17,,,ppm
Zr90,6.56e+003,,,cps,0.95,,,ppm
As75,1.18e+005,,,cps,122,,,ppm
V51,1.17e+005,,,cps,22.3,,,ppm
Cr52,5.73e+004,,,cps,9.3,,,ppm
Ni60,2.98e+004,,,cps,15.7,,,ppm
Cu63,5.84e+004,,,cps,13.3,,,ppm
Zn66,2.88e+004,,,cps,21.,,,ppm
Th232,4.18e+003,,,cps,0.309,,,ppm
Sc45,2.55e+003,,,cps,0.537,,,ppm
Y89,3.12e+004,,,cps,1.95,,,ppm
La139,2.38e+004,,,cps,1.25,,,ppm
Ce140,3.83e+004,,,cps,2.25,,,ppm
Pr141,5.37e+003,,,cps,0.253,,,ppm
Nd142,5.02e+003,,,cps,0.878,,,ppm
Sm152,5.88e+003,,,cps,0.959,,,ppm
Eu153,6.72e+003,,,cps,0.556,,,ppm
Gd158,1.33e+003,,,cps,0.228,,,ppm
Tb159,521,,,cps,2.23e-002,,,ppm
Dy164,749,,,cps,0.113,,,ppm
Ho165,479,,,cps,1.97e-002,,,ppm
Er166,421,,,cps,5.23e-002,,,ppm
Tm169,224,,,cps,9.2e-003,,,ppm
Yb174,468,,,cps,5.99e-002,,,ppm
Lu175,1.02e+003,,,cps,4.69e-002,,,ppm
U238,1.24e+003,,,cps,9.01e-002,,,ppm
Ga69,8.6e+004,,,cps,12.4,,,ppm
Sample ID:,tizs 1619-2
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,718,,,cps,0.87,,,ppm
Bi209,1.9e+003,,,cps,0.292,,,ppm
Cd111,1.76e+003,,,cps,1.08,,,ppm
Cs133,1.8e+004,,,cps,0.956,,,ppm
Co59,3.13e+005,,,cps,35.6,,,ppm
Pb208,8.97e+004,,,cps,12.5,,,ppm
Rb85,2.18e+004,,,cps,2.02,,,ppm
Se82,285,,,cps,2.05,,,ppm
Ag107,3.28e+006,,,cps,479,,,ppm
Te130,-234,,,cps,-0.189,,,ppm
Ta181,346,,,cps,2.33e-002,,,ppm
Tl205,2.64e+003,,,cps,0.264,,,ppm
Ge74,-555,,,cps,-0.21,,,ppm
Hf180,603,,,cps,8.23e-002,,,ppm
Mo98,2.25e+004,,,cps,6.82,,,ppm
Nb93,9.31e+003,,,cps,0.825,,,ppm
Sb121,3.35e+003,,,cps,0.716,,,ppm
Sn118,8.94e+003,,,cps,2.01,,,ppm
W184,7.02e+004,,,cps,14.4,,,ppm
Zr90,5.82e+003,,,cps,0.836,,,ppm
As75,1.21e+005,,,cps,124,,,ppm
V51,6.76e+005,,,cps,128,,,ppm
Cr52,4.44e+005,,,cps,71.3,,,ppm
Ni60,3.24e+005,,,cps,169,,,ppm
Cu63,2.86e+005,,,cps,64.8,,,ppm
Zn66,1.01e+005,,,cps,72.6,,,ppm
Th232,7.03e+004,,,cps,5.15,,,ppm
Sc45,7.66e+004,,,cps,16.,,,ppm
Y89,4.e+005,,,cps,24.7,,,ppm
La139,6.43e+005,,,cps,33.4,,,ppm
Ce140,1.21e+006,,,cps,70.5,,,ppm
Pr141,1.66e+005,,,cps,7.74,,,ppm
Nd142,1.69e+005,,,cps,29.2,,,ppm
Sm152,4.84e+004,,,cps,7.81,,,ppm
Eu153,2.75e+004,,,cps,2.25,,,ppm
Gd158,6.5e+004,,,cps,11.1,,,ppm
Tb159,3.01e+004,,,cps,1.27,,,ppm
Dy164,4.62e+004,,,cps,6.91,,,ppm
Ho165,2.48e+004,,,cps,1.01,,,ppm
Er166,2.06e+004,,,cps,2.53,,,ppm
Tm169,6.73e+003,,,cps,0.274,,,ppm
Yb174,1.28e+004,,,cps,1.62,,,ppm
Lu175,5.75e+003,,,cps,0.263,,,ppm
U238,3.01e+004,,,cps,2.16,,,ppm
Ga69,6.55e+004,,,cps,9.35,,,ppm
Sample ID:,tizs 1619-3
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,281,,,cps,0.337,,,ppm
Bi209,2.33e+003,,,cps,0.354,,,ppm
Cd111,3.05e+003,,,cps,1.85,,,ppm
Cs133,1.04e+005,,,cps,5.47,,,ppm
Co59,4.6e+004,,,cps,5.19,,,ppm
Pb208,6.41e+005,,,cps,88.3,,,ppm
Rb85,4.32e+005,,,cps,39.6,,,ppm
Se82,56.1,,,cps,0.4,,,ppm
Ag107,2.32e+006,,,cps,336,,,ppm
Te130,-5.48e+003,,,cps,-4.38,,,ppm
Ta181,147,,,cps,9.79e-003,,,ppm
Tl205,1.86e+003,,,cps,0.184,,,ppm
Ge74,61.7,,,cps,2.31e-002,,,ppm
Hf180,376,,,cps,5.09e-002,,,ppm
Mo98,4.22e+003,,,cps,1.27,,,ppm
Nb93,5.02e+003,,,cps,0.441,,,ppm
Sb121,2.38e+004,,,cps,5.02,,,ppm
Sn118,5.64e+003,,,cps,1.26,,,ppm
W184,3.27e+003,,,cps,0.664,,,ppm
Zr90,9.96e+003,,,cps,1.42,,,ppm
As75,6.3e+004,,,cps,63.8,,,ppm
V51,1.51e+005,,,cps,28.3,,,ppm
Cr52,5.27e+004,,,cps,8.39,,,ppm
Ni60,3.17e+004,,,cps,16.4,,,ppm
Cu63,9.31e+004,,,cps,20.9,,,ppm
Zn66,3.43e+005,,,cps,245,,,ppm
Th232,1.3e+004,,,cps,0.94,,,ppm
Sc45,6.15e+003,,,cps,1.27,,,ppm
Y89,4.41e+004,,,cps,2.7,,,ppm
La139,6.11e+004,,,cps,3.14,,,ppm
Ce140,9.38e+004,,,cps,5.41,,,ppm
Pr141,1.29e+004,,,cps,0.595,,,ppm
Nd142,1.18e+004,,,cps,2.02,,,ppm
Sm152,6.63e+003,,,cps,1.06,,,ppm
Eu153,6.83e+003,,,cps,0.553,,,ppm
Gd158,3.12e+003,,,cps,0.525,,,ppm
Tb159,1.38e+003,,,cps,5.77e-002,,,ppm
Dy164,1.86e+003,,,cps,0.276,,,ppm
Ho165,1.2e+003,,,cps,4.83e-002,,,ppm
Er166,1.06e+003,,,cps,0.129,,,ppm
Tm169,452,,,cps,1.82e-002,,,ppm
Yb174,899,,,cps,0.113,,,ppm
Lu175,1.12e+003,,,cps,5.07e-002,,,ppm
U238,5.24e+003,,,cps,0.372,,,ppm
Ga69,7.75e+004,,,cps,11.,,,ppm
Sample ID:,nit
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,4.,,,cps,1.98e-005,,,ppm
Bi209,176,,,cps,1.1e-004,,,ppm
Cd111,5.26,,,cps,1.32e-005,,,ppm
Cs133,68.4,,,cps,1.48e-005,,,ppm
Co59,1.99e+003,,,cps,9.24e-004,,,ppm
Pb208,8.58e+003,,,cps,4.87e-003,,,ppm
Rb85,194,,,cps,7.32e-005,,,ppm
Se82,3.78,,,cps,1.11e-004,,,ppm
Ag107,713,,,cps,4.25e-004,,,ppm
Te130,64.,,,cps,2.11e-004,,,ppm
Ta181,167,,,cps,4.58e-005,,,ppm
Tl205,440,,,cps,1.79e-004,,,ppm
Ge74,-30.9,,,cps,-4.76e-005,,,ppm
Hf180,18.3,,,cps,1.02e-005,,,ppm
Mo98,2.98e+003,,,cps,3.67e-003,,,ppm
Nb93,1.19e+003,,,cps,4.3e-004,,,ppm
Sb121,53.7,,,cps,4.67e-005,,,ppm
Sn118,1.34e+003,,,cps,1.23e-003,,,ppm
W184,1.84e+003,,,cps,1.54e-003,,,ppm
Zr90,513,,,cps,3.e-004,,,ppm
As75,2.2e+003,,,cps,9.17e-003,,,ppm
V51,-3.85e+004,,,cps,-2.97e-002,,,ppm
Cr52,1.05e+005,,,cps,6.9e-002,,,ppm
Ni60,2.28e+004,,,cps,4.87e-002,,,ppm
Cu63,3.44e+003,,,cps,3.17e-003,,,ppm
Zn66,1.45e+004,,,cps,4.28e-002,,,ppm
Th232,697,,,cps,2.08e-004,,,ppm
Sc45,-1.4e+003,,,cps,-1.19e-003,,,ppm
Y89,47.4,,,cps,1.19e-005,,,ppm
La139,108,,,cps,2.29e-005,,,ppm
Ce140,126,,,cps,3.e-005,,,ppm
Pr141,71.,,,cps,1.35e-005,,,ppm
Nd142,17.4,,,cps,1.23e-005,,,ppm
Sm152,39.9,,,cps,2.63e-005,,,ppm
Eu153,3.08,,,cps,1.03e-006,,,ppm
Gd158,8.81,,,cps,6.12e-006,,,ppm
Tb159,1.02,,,cps,1.77e-007,,,ppm
Dy164,-2.34,,,cps,-1.43e-006,,,ppm
Ho165,-2.04,,,cps,-3.39e-007,,,ppm
Er166,4.08,,,cps,2.05e-006,,,ppm
Tm169,-5.26,,,cps,-8.72e-007,,,ppm
Yb174,-9.88e-002,,,cps,-5.11e-008,,,ppm
Lu175,6.13,,,cps,1.14e-006,,,ppm
U238,64.2,,,cps,1.88e-005,,,ppm
Ga69,261,,,cps,1.52e-004,,,ppm
Sample ID:,RM1 RM1 RM1
Method File:,mix 1&2&3 geology2.mth
Calibration File:,
Be9,282,,,cps,0.349,,,ppm
Bi209,9.18e+003,,,cps,1.44,,,ppm
Cd111,1.23e+003,,,cps,0.767,,,ppm
Cs133,8.51e+004,,,cps,4.61,,,ppm
Co59,6.62e+004,,,cps,7.69,,,ppm
Pb208,3.71e+005,,,cps,52.7,,,ppm
Rb85,5.33e+005,,,cps,50.4,,,ppm
Se82,5.14,,,cps,3.78e-002,,,ppm
Ag107,1.15e+004,,,cps,1.72,,,ppm
Te130,525,,,cps,0.432,,,ppm
Ta181,3.31e+003,,,cps,0.227,,,ppm
Tl205,6.42e+003,,,cps,0.653,,,ppm
Ge74,1.22e+003,,,cps,0.468,,,ppm
Hf180,4.27e+003,,,cps,0.595,,,ppm
Mo98,9.69e+003,,,cps,2.99,,,ppm
Nb93,2.61e+004,,,cps,2.36,,,ppm
Sb121,1.15e+004,,,cps,2.51,,,ppm
Sn118,1.02e+004,,,cps,2.35,,,ppm
W184,6.81e+003,,,cps,1.42,,,ppm
Zr90,1.19e+005,,,cps,17.5,,,ppm
As75,1.08e+005,,,cps,113,,,ppm
V51,3.99e+005,,,cps,77.,,,ppm
Cr52,1.25e+005,,,cps,20.5,,,ppm
Ni60,1.79e+004,,,cps,9.56,,,ppm
Cu63,1.59e+005,,,cps,36.8,,,ppm
Zn66,8.21e+004,,,cps,60.5,,,ppm
Th232,2.19e+004,,,cps,1.64,,,ppm
Sc45,7.08e+004,,,cps,15.,,,ppm
Y89,7.15e+004,,,cps,4.5,,,ppm
La139,9.45e+004,,,cps,5.,,,ppm
